pro_img,brand_name,pro_desc,link,price
https://cdn.bike-discount.de/media/org/orgb_R/orgid_28/thumbs/476603_4048103.jpg,RockShox,"RockShox--LyrikUltimateRC227.5""DebonAirTaperedBoost",https://www.bike-discount.de/en/buy/rockshox-lyrik-ultimate-rc2-27.5-debon-air-tapered-boost-831441,"1,080.85$"
https://cdn.bike-discount.de/media/org/orgb_R/orgid_28/thumbs/477220_4048105.jpg,RockShox,"RockShox--LyrikSelectRC27.5""DebonAirTaperedBoost",https://www.bike-discount.de/en/buy/rockshox-lyrik-select-rc-27.5-debon-air-tapered-boost-831405,754.65$
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f8775_rock_shox_reverb_hydraulic_bleed_kit.jpg,RockShox,Reverb Hydraulic Bleed Kit,https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-reverb-hydraulic-bleed-kit-58237.html&lgsku=PS8007001&rk=1&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=VeKznO3fEIvDa7WI&method=and&isort=score&view=grid,34.96
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f48682_rockshox_yari_rc_solo_air_boost_forks_oem_29_.jpg,Rockshox,"Yari RC Solo Air Boost Forks OEM - 29""",https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-yari-rc-solo-air-boost-forks-oem-29-133927.html&lgsku=00.4019.605&rk=2&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=Qb7Xg8Ggc2QnamDK&method=and&isort=score&view=grid,359.00
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f22476_rockshox_yari_rc_solo_air_29_.jpg,Rockshox,"Yari RC Solo Air - 29""",https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-yari-rc-solo-air-29-88042.html&lgsku=RS9244011-29&rk=3&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=uOh2w-JEvSorOEgW&method=and&isort=score&view=grid,525.00
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f48697_rockshox_reverb_stealth_oem_seatpost.jpg,RockShox,Reverb Stealth OEM Seatpost,https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-reverb-stealth-oem-seatpost-133948.html&lgsku=00.6818.015&rk=4&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=63yef2PJgBuLbavl&method=and&isort=score&view=grid,184.99
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f41680_rockshox_reba_rl_solo_air_forks_27_5_.jpg,Rockshox,"Reba RL Solo Air Forks OEM - 27.5""",https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-reba-rl-solo-air-forks-oem-275-122299.html&lgsku=4019.250&rk=5&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=ISl0CsBn0W0FeCRg&method=and&isort=score&view=grid,199.99
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f26770_rockshox_lyrik_rct3_dual_position_2017_27_5_.jpg,Rockshox,"Lyrik RCT3 Dual Position 2017 - 27.5""",https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-lyrik-rct3-dual-position-2017-275-96050.html&lgsku=RS9246002-2017&rk=6&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=bRBCTE5Qjrto1VGy&method=and&isort=score&view=grid,749.00
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f24155_reverb_stealth_b1.jpg,Rockshox,Reverb Stealth B1 Seatpost,https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-reverb-stealth-b1-seatpost-90902.html&lgsku=RSP801900-B1&rk=7&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=5NjxwadXbln1oT-t&method=and&isort=score&view=grid,177.00
https://bikes.merlincycles.com/thumb.php?s=150&f=https%3a%2f%2fmerlincycles-img.s3-eu-west-1.amazonaws.com%2fproductImage_470_470_ffffff_image-jpeg%2f41689_rockshox_revelation_rc_debonair_boost_forks_oem_27_5_.jpg,Rockshox,"Revelation RC Debonair Boost Forks OEM - 27.5""",https://bikes.merlincycles.com/search?p=R&srid=S4-2LON2P&lbc=merlincycles&w=rock%20shox&url=https%3a%2f%2fwww.merlincycles.com%2frockshox-revelation-rc-debonair-boost-forks-oem-275-122311.html&lgsku=4019.510.0&rk=8&uid=871428628&sid=2&ts=custom&SLIPid=1555787142951&rsc=r3SELiPEMtdfDrr6&method=and&isort=score&view=grid,349.00
